"userTags","timeStamps","Tweets","Replys","reTweets","Likes"
"Elon Musk
@elonmusk
·
9h","2025-03-04T06:41:03.000Z","","12K","20K","137K"
"Elon Musk
@elonmusk
·
30s","2025-03-04T16:23:17.000Z","My post below was almost 2 years ago. 

Stop sending men to die for nothing. 

ENOUGH!!","60","40","213"
"Elon Musk
@elonmusk
·
25m","2025-03-04T15:58:01.000Z","Ok, so who is sending the social media interns of the politicians what to post?","2.9K","4.1K","23K"
"Charlie Kirk
@charliekirk11
·
54m","2025-03-04T15:29:15.000Z","True","388","1.2K","7.2K"
"Elon Musk
@elonmusk
·
1h","2025-03-04T15:22:12.000Z","Confirm 
@ElbridgeColby
!","1.4K","2.1K","10K"
"Elon Musk
@elonmusk
·
1h","2025-03-04T15:20:28.000Z","Vice President 
@JDVance
 introduces Elbridge Colby to the Senate Armed Services Committee to become the 3rd highest ranking official at the DOD:

""Bridge predicted what we would be talking about 4 years down the road, 5 years down the road, 10 years down the road. He saw around","1.1K","1.4K","11K"
